date,cpi_yoy,policy_rate,unemployment,wage_growth
1996-01-01,1.616628175519641,5.56,,
1996-02-01,1.264367816091938,5.19,,
1996-03-01,1.4908256880733939,5.0,,
1996-04-01,1.371428571428579,4.75,,
1996-05-01,1.4823261117445696,4.75,,
1996-06-01,1.4823261117445696,4.75,,
1996-07-01,1.2514220705347023,4.5,,
1996-08-01,1.4823261117445696,4.0,,
1996-09-01,1.480637813211838,4.0,,
1996-10-01,1.8244013683010207,3.25,,
1996-11-01,1.931818181818179,3.0,,
1996-12-01,2.1640091116173155,3.0,,
1997-01-01,2.1590909090909216,3.0,,
1997-02-01,2.2701475595913845,3.0,,
1997-03-01,1.9209039548022666,3.0,,
1997-04-01,1.6910935738444266,3.0,,
1997-05-01,1.4606741573033766,3.0,,
1997-06-01,1.6853932584269593,3.25,,
1997-07-01,1.6853932584269593,3.25,,
1997-08-01,1.7977528089887507,3.25,,
1997-09-01,1.683501683501687,3.25,,
1997-10-01,1.4557670772676445,3.5,,
1997-11-01,0.8918617614269708,3.75,,
1997-12-01,0.7803790412486133,4.25,,
1998-01-01,1.1123470522803158,4.75,,
1998-02-01,0.998890122086582,4.75,,
1998-03-01,0.997782705099759,4.75,,
1998-04-01,0.8869179600886845,4.75,,
1998-05-01,1.1074197120708673,4.75,,
1998-06-01,0.9944751381215422,4.75,,
1998-07-01,0.9944751381215422,4.75,,
1998-08-01,0.8830022075055233,5.75,,
1998-09-01,0.6622516556291425,5.5,,
1998-10-01,1.103752759381904,5.25,,
1998-11-01,1.2154696132596676,5.0,,
1998-12-01,0.9955752212389202,5.0,,
1999-01-01,0.6600660066006458,5.0,,
1999-02-01,0.659340659340657,5.0,,
1999-03-01,0.9879253567508295,4.75,,
1999-04-01,1.6483516483516425,4.75,,
1999-05-01,1.533406352683464,4.5,,
1999-06-01,1.6411378555798661,4.5,,
1999-07-01,1.8599562363238453,4.5,,
1999-08-01,2.0787746170678245,4.5,,
1999-09-01,2.631578947368407,4.5,,
1999-10-01,2.2925764192139875,4.5,,
1999-11-01,2.183406113537112,4.75,,
1999-12-01,2.6286966046002336,4.75,,
2000-01-01,2.1857923497267784,4.75,,
2000-02-01,2.729257641921401,5.0,,
2000-03-01,3.04347826086957,5.25,,
2000-04-01,2.1621621621621623,5.25,,
2000-05-01,2.373247033441217,5.75,,
2000-06-01,2.7987082884822323,5.75,,
2000-07-01,2.9001074113855996,5.75,,
2000-08-01,2.5723472668810254,5.75,,
2000-09-01,2.6709401709401615,5.75,,
2000-10-01,2.774813233724638,5.75,,
2000-11-01,3.205128205128216,5.75,,
2000-12-01,3.2017075773745907,5.75,,
2001-01-01,2.99465240641712,5.5,,
2001-02-01,2.869287991498415,5.5,,
2001-03-01,2.4261603375527407,5.0,,
2001-04-01,3.4920634920634797,4.75,,
2001-05-01,3.898840885142252,4.5,,
2001-06-01,3.350785340314144,4.5,,
2001-07-01,2.713987473903967,4.25,,
2001-08-01,2.8213166144200663,4.0,,
2001-09-01,2.6014568158168494,3.5,,
2001-10-01,1.869158878504673,2.75,,
2001-11-01,0.6211180124223725,2.25,,
2001-12-01,0.7238883143743546,2.25,,
2002-01-01,1.349948078920038,2.0,,
2002-02-01,1.446280991735538,2.0,,
2002-03-01,1.8537590113285374,2.0,,
2002-04-01,1.7382413087934534,2.25,,
2002-05-01,1.1156186612576224,2.25,,
2002-06-01,1.2158054711246313,2.5,,
2002-07-01,2.1341463414634054,2.75,,
2002-08-01,2.5406504065040636,2.75,,
2002-09-01,2.332657200811372,2.75,,
2002-10-01,3.1600407747196746,2.75,,
2002-11-01,4.4238683127572065,2.75,,
2002-12-01,3.7987679671457775,2.75,,
